State,Record Type,Source Name,Coverage Level,Last Refresh,Record Count
AR,Arrest,Boone County,Boone,2025-07-07 00:00:00,27348
AR,Arrest,Monroe County,,2024-05-02 00:00:00,63
AR,Court,Arkansas Administrative Office Of The Courts,Lincoln,2024-06-28 00:00:00,3730
AR,Arrest,Tuscaloosa County,Tuscaloosa,2024-05-02 00:00:00,1226
AR,Arrest,Arrest/Us/National/Arrests,Franklin County,2025-08-04 00:00:00,37
AR,Arrest,Faulkner County,,2024-05-02 00:00:00,208
AR,Arrest,Pulaski County,Pulaski,2025-07-07 00:00:00,460637
AR,Court,Arkansas Administrative Office Of The Courts,Scott,2024-06-28 00:00:00,11221
AR,Arrest,Arrest/Us/National/Arrests,Baxter County,2025-08-04 00:00:00,39
AR,Arrest,Lonoke County,,2024-05-02 00:00:00,1
AR,Arrest,St. Francis County,,2024-05-02 00:00:00,499
AR,Court,Arkansas Administrative Office Of The Courts,Pulaski,2024-06-28 00:00:00,509116
AR,Arrest,Arkansas Arrest,Logan County,2025-07-22 00:00:00,305
AR,Arrest,Crawford County,Crawford,2024-05-02 00:00:00,1849
AR,Court,Arkansas Administrative Office Of The Courts,Woodruff,2024-06-28 00:00:00,2659
AR,Arrest,Saint Francis County,,2024-05-02 00:00:00,841
AR,Arrest,St Francis County,St. Francis,2025-07-07 00:00:00,13960
AR,Arrest,Chicot County,,2024-05-02 00:00:00,9
AR,Arrest,Arkansas Arrest,Columbia County,2025-07-22 00:00:00,139
AR,Court,Arkansas Administrative Office Of The Courts,Baxter,2024-06-28 00:00:00,12237
AR,Arrest,Arrest/Us/National/Arrests,Craighead County,2025-08-04 00:00:00,134
AR,Arrest,Sevier County,,2025-07-07 00:00:00,1572
AR,Arrest,Washington County,Prairie,2024-05-02 00:00:00,3100
AR,Arrest,Carroll County,,2025-07-07 00:00:00,1757
AR,Arrest,Arkansas Arrest,Garland County,2025-07-22 00:00:00,1305
AR,Court,Arkansas Administrative Office Of The Courts,Craighead,2024-06-03 00:00:00,150165
AR,Arrest,Stone County,Stone,2025-07-07 00:00:00,3642
AR,Court,Arkansas Administrative Office Of The Courts,Jefferson,2024-06-28 00:00:00,41675
AR,Arrest,Columbia County,Columbia,2025-07-07 00:00:00,13399
AR,Court,Arkansas Administrative Office Of The Courts,Hempstead,2024-06-28 00:00:00,11157
AR,Arrest,Craighead County,Craighead,2025-07-07 00:00:00,58515
AR,Arrest,Little River County,,2024-05-02 00:00:00,4
AR,Arrest,Howard County,Howard,2025-07-07 00:00:00,12266
AR,Arrest,Cabot Pd,,2024-05-02 00:00:00,546
AR,Arrest,Clark County,,2024-05-02 00:00:00,409
AR,Arrest,Poinsett County,,2024-05-02 00:00:00,271
AR,Arrest,Arrest/Us/National/Arrests,Marion County,2025-08-04 00:00:00,21
AR,Arrest,Cross County,Cross,2025-07-07 00:00:00,37568
AR,Arrest,Cross County,,2024-05-02 00:00:00,860
AR,Warrant,Ar Conway County Most Wanted,,2024-05-02 00:00:00,2
AR,Arrest,Grant County,,2024-05-02 00:00:00,9
AR,Arrest,Polk County,,2024-05-02 00:00:00,254
AR,Court,Arkansas Administrative Office Of The Courts,Lee,2024-06-28 00:00:00,3817
AR,Court,Arkansas Administrative Office Of The Courts,Lonoke,2024-06-28 00:00:00,58015
AR,DOC,Arkansas Department Of Corrections,Pulaski,2024-11-13 00:00:00,1980
AR,Warrant,Ar Faulkner Most Wanted,,2024-05-02 00:00:00,3
AR,Court,Arkansas Administrative Office Of The Courts,Chicot,2024-06-28 00:00:00,5595
AR,Court,Arkansas Administrative Office Of The Courts,Poinsett,2024-06-28 00:00:00,15407
AR,Arrest,Houston County,,2024-05-02 00:00:00,430
AR,Arrest,Lawrence County,,2024-05-02 00:00:00,694
AR,Arrest,Mississippi County,Mississippi,2025-07-07 00:00:00,16289
