standardized_state,state_name,record_type,source_name,coverage_scope,court_level,refresh_date,record_count
AL,Alabama,ARREST,Tuscaloosa County,Tuscaloosa,N/A,2025-07-07,147610
AL,Alabama,ARREST,Alabama Arrest,Barbour County,N/A,2025-07-26,145
AL,Alabama,ARREST,Cherokee County,STATEWIDE,N/A,2024-05-02,1104
AL,Alabama,ARREST,Arrest/Us/National/Arrests,Shelby County,N/A,2025-08-04,118
AL,Alabama,ARREST,Clay County,STATEWIDE,N/A,2025-07-07,2040
AL,Alabama,ARREST,Alabama Arrest,Baldwin County,N/A,2025-07-26,1538
AL,Alabama,ARREST,Alabama Arrest,Shelby County,N/A,2025-07-22,854
AL,Alabama,ARREST,Alabama Arrest,Tallapoosa County,N/A,2025-07-22,328
AL,Alabama,ARREST,Chilton County,STATEWIDE,N/A,2024-05-02,646
AL,Alabama,ARREST,Alabama Arrest,Cleburne County,N/A,2025-07-22,111
AL,Alabama,ARREST,Talladega County,STATEWIDE,N/A,2024-05-02,399
AL,Alabama,ARREST,St. Clair  County,STATEWIDE,N/A,2024-05-02,130
AL,Alabama,ARREST,Alabama Arrest,Lauderdale County,N/A,2025-07-22,961
AL,Alabama,ARREST,Jackson County,Jackson,N/A,2025-07-07,29911
AL,Alabama,ARREST,Lee County,Lee,N/A,2025-07-07,34161
AL,Alabama,ARREST,Alabama Arrest,Colbert County,N/A,2025-07-22,237
AL,Alabama,ARREST,Etowah County,Etowah,N/A,2025-07-07,169002
AL,Alabama,ARREST,Alabama Arrest,Coffee County,N/A,2025-07-22,542
AL,Alabama,ARREST,Arrest/Us/National/Arrests,Elmore County,N/A,2025-08-04,106
AL,Alabama,ARREST,Alabama Arrest,Randolph County,N/A,2025-07-22,232
AL,Alabama,ARREST,Alabama Arrest,Pike County,N/A,2025-07-22,300
AL,Alabama,ARREST,Washington County,STATEWIDE,N/A,2025-07-07,1773
AL,Alabama,ARREST,Arrest/Us/National/Arrests,Montgomery County,N/A,2025-08-04,64
AL,Alabama,ARREST,Alabama Arrest,Jackson County,N/A,2025-07-22,315
AL,Alabama,ARREST,Alabama Arrest,Montgomery County,N/A,2025-07-22,692
